City,Latitude,Longitude,Max Temp,Humidity,Clouds,Wind (in mph),Country,Date
Mayor Pablo Lagerenza,-19.9309,-60.7718,297.08,53,24,2.85,PY,1621475246
Laguna,38.421,-121.4238,297.84,39,1,3.58,US,1621475246
Rikitea,-23.1203,-134.9692,296.02,61,54,7.96,PF,1621475246
Saint George,37.1041,-113.5841,306.48,9,1,1.79,US,1621475106
Talnakh,69.4865,88.3972,264.35,84,30,0.9,RU,1621475247
Albany,42.6001,-73.9662,293.09,52,100,1.63,US,1621475247
Faanui,-16.4833,-151.75,300.78,76,100,8.2,PF,1621475247
Busselton,-33.65,115.3333,290.83,62,16,2.16,AU,1621475248
Landskrona,55.8708,12.8302,283.23,88,10,4.06,SE,1621475248
College,64.8569,-147.8028,290.33,36,1,3.09,US,1621475248
Nhulunbuy,-12.2333,136.7667,302.49,70,75,8.23,AU,1621475249
Cape Town,-33.9258,18.4232,289.2,93,75,1.79,ZA,1621475249
Butaritari,3.0707,172.7902,301.05,78,71,5.19,KI,1621475249
Mumford,5.2618,-0.759,299.48,88,66,3.99,GH,1621475249
Linxia Chengguanzhen,35.6003,103.2064,287.91,44,71,1.44,CN,1621475250
Hamilton,39.1834,-84.5333,296.01,81,20,1.51,US,1621475250
Akureyri,65.6835,-18.0878,273.11,80,90,1.54,IS,1621475250
Brigantine,39.4101,-74.3646,295.65,73,1,3.07,US,1621475251
New Norfolk,-42.7826,147.0587,287.46,61,34,2.68,AU,1621475251
Vaini,-21.2,-175.2,300.24,78,75,4.12,TO,1621475251
Bluff,-46.6,168.3333,288.6,77,86,2.96,NZ,1621475252
Puerto Ayora,-0.7393,-90.3518,296.79,88,8,2.68,EC,1621475252
Vigrestad,58.5667,5.7,282.04,90,47,7.97,NO,1621475252
Dikson,73.5069,80.5464,266.19,92,100,2.8,RU,1621475252
Nikolskoye,59.7035,30.7861,287.26,91,98,2.57,RU,1621475253
Bathsheba,13.2167,-59.5167,300.49,67,40,8.01,BB,1621475253
Ribeira Grande,38.5167,-28.7,289.09,91,100,9.08,PT,1621475253
Thompson,55.7435,-97.8558,273.24,80,90,4.63,CA,1621475106
Port Elizabeth,-33.918,25.5701,287.31,100,0,1.54,ZA,1621475254
Ushuaia,-54.8,-68.3,277.96,93,90,3.6,AR,1621475254
Punta Arenas,-53.15,-70.9167,279.88,79,100,4.51,CL,1621475122
Jamestown,42.097,-79.2353,294.95,51,1,0.0,US,1621475002
Chokurdakh,70.6333,147.9167,273.09,100,100,3.09,RU,1621475255
Taltal,-25.4,-70.4833,289.62,77,90,1.06,CL,1621475255
Mataura,-46.1927,168.8643,288.42,67,53,1.36,NZ,1621475245
Nísia Floresta,-6.0911,-35.2086,298.6,87,0,2.83,BR,1621475255
Talcahuano,-36.7167,-73.1167,284.97,100,90,2.06,CL,1621475169
Waipawa,-41.4122,175.5153,288.21,62,1,2.91,NZ,1621475256
Preeceville,51.95,-102.6677,280.92,51,11,5.57,CA,1621475256
Juneau,58.3019,-134.4197,288.15,61,40,1.22,US,1621475205
Necochea,-38.5473,-58.7368,282.61,77,100,3.46,AR,1621475256
Topeka,39.0483,-95.678,293.94,92,90,1.54,US,1621475186
Arraial do Cabo,-22.9661,-42.0278,294.77,70,44,1.61,BR,1621475257
Clyde River,70.4692,-68.5914,264.28,73,1,7.2,CA,1621475257
Cristinápolis,-11.4756,-37.7553,293.31,96,86,1.47,BR,1621475257
Hithadhoo,-0.6,73.0833,302.12,69,23,3.94,MV,1621475258
Saint Paul Harbor,57.79,-152.4072,278.88,93,90,9.77,US,1621475258
Barabai,-2.5833,115.3833,301.88,74,61,1.07,ID,1621475258
Havre-St-Pierre,50.2334,-63.5986,279.35,93,90,2.06,CA,1621475258
Kondinskoye,59.6481,67.41,283.36,69,100,4.84,RU,1621475259
Santa Isabel Rio Negro,-0.4139,-65.0192,295.82,97,100,0.41,BR,1621475259
Yeppoon,-23.1333,150.7333,298.03,56,1,7.36,AU,1621475259
Hilo,19.7297,-155.09,299.0,71,90,5.14,US,1621475172
George Town,5.4112,100.3354,301.11,87,20,0.89,MY,1621475260
Khani,41.9563,42.9566,281.91,72,5,3.04,GE,1621475260
Bantry,51.6833,-9.45,281.86,96,100,11.81,IE,1621475260
Barrow,71.2906,-156.7887,272.16,86,90,5.14,US,1621475261
Coahuayana Viejo,18.7333,-103.6833,296.85,71,0,1.13,MX,1621475261
Klaksvík,62.2266,-6.589,275.66,71,98,5.9,FO,1621475261
Reus,41.1561,1.1069,289.71,59,0,2.68,ES,1621475262
Port Alfred,-33.5906,26.891,295.96,38,21,5.92,ZA,1621475262
Bethel,41.3712,-73.414,293.24,65,100,1.36,US,1621475262
Geraldton,-28.7667,114.6,295.38,55,0,3.75,AU,1621475262
Coquimbo,-29.9533,-71.3436,288.21,79,100,1.07,CL,1621475194
Tasiilaq,65.6145,-37.6368,268.24,72,21,2.14,GL,1621475263
Bielsk Podlaski,52.7651,23.1865,282.73,95,86,4.06,PL,1621475263
Bud,39.447,-86.1758,295.18,90,100,2.75,US,1621475264
Salto del Guairá,-24.0625,-54.3069,291.56,48,1,2.73,PY,1621475264
Hermanus,-34.4187,19.2345,288.6,86,100,7.32,ZA,1621475264
Margate,51.3813,1.3862,282.98,82,98,0.45,GB,1621475264
Saint-Philippe,-21.3585,55.7679,294.92,80,98,8.8,RE,1621475265
Brasília de Minas,-16.2064,-44.4333,290.96,45,22,1.73,BR,1621475265
Sitka,57.0531,-135.33,285.09,66,20,6.69,US,1621475265
Honningsvåg,70.9821,25.9704,277.9,92,100,3.09,NO,1621475266
High Level,58.5169,-117.136,283.21,24,20,2.58,CA,1621475266
Channel-Port aux Basques,47.5702,-59.1367,278.51,91,78,4.36,CA,1621475266
Lupiro,-8.3833,36.6667,291.8,81,90,1.28,TZ,1621475267
Māngrol,21.1167,70.1167,301.75,77,70,3.57,IN,1621475242
Villa San Giovanni,38.2276,15.6386,292.95,76,0,0.45,IT,1621475267
Cherskiy,68.75,161.3,280.94,53,88,2.91,RU,1621475267
Mahébourg,-20.4081,57.7,294.96,73,73,10.75,MU,1621475184
Kiunga,-6.1219,141.2906,303.17,72,99,1.84,PG,1621475268
Homer,59.6425,-151.5483,282.64,66,90,3.09,US,1621475268
Sheksna,59.21,38.5107,288.78,91,100,3.8,RU,1621475268
Avarua,-21.2078,-159.775,301.18,69,20,7.72,CK,1621475268
Hirara,24.8,125.2833,303.3,74,75,8.75,JP,1621475269
La Peca,-5.6111,-78.435,293.54,86,72,1.73,PE,1621475269
Rāmshīr,30.8946,49.4092,300.01,9,0,4.34,IR,1621475269
Port Moresby,-9.4431,147.1797,302.83,70,75,6.17,PG,1621475270
Kahului,20.8947,-156.47,301.16,62,20,13.89,US,1621475270
Bredasdorp,-34.5322,20.0403,288.31,89,100,3.21,ZA,1621475270
Bengkulu,-3.8004,102.2655,299.54,84,100,0.95,ID,1621475271
Suciu de Sus,47.4333,24.0333,282.69,91,100,2.31,RO,1621475271
Norman Wells,65.282,-126.8329,285.17,35,75,3.09,CA,1621475271
East London,-33.0153,27.9116,297.56,32,100,6.22,ZA,1621475271
Fort Nelson,58.8053,-122.7002,288.92,23,20,2.06,CA,1621475107
Kruisfontein,-34.0033,24.7314,290.04,48,19,3.7,ZA,1621475272
Cartagena,10.3997,-75.5144,300.1,85,23,4.85,CO,1621475272
Yaan,7.3833,8.5667,298.91,79,85,4.19,NG,1621475272
Tabriz,38.08,46.2919,288.85,41,0,4.12,IR,1621475273
Severo-Kuril'sk,50.6789,156.125,279.58,83,68,2.33,RU,1621475273
Souillac,-20.5167,57.5167,295.02,75,99,10.73,MU,1621475273
Avera,33.194,-82.5271,297.08,81,99,3.61,US,1621475274
Kokopo,-4.352,152.2633,303.32,64,92,2.51,PG,1621475274
Asău,46.4333,26.4,285.35,53,100,1.68,RO,1621475274
Zinder,13.8072,8.9881,301.91,14,94,2.54,NE,1621475274
Zeya,53.75,127.2667,281.34,74,99,1.37,RU,1621475275
Kidal,18.4411,1.4078,306.12,23,43,4.57,ML,1621475275
Mokhsogollokh,61.4681,128.9203,282.2,40,63,2.5,RU,1621475275
Aban,56.67,96.06,280.64,42,100,4.78,RU,1621475276
Ürümqi,43.801,87.6005,295.68,35,0,1.11,CN,1621475276
Kachīry,53.0675,76.1036,284.95,47,53,5.63,KZ,1621475276
Kaseda-shirakame,31.4167,130.3167,297.72,90,100,8.56,JP,1621475277
Mayo,38.8876,-76.5119,296.98,72,1,2.63,US,1621475277
Kholm,59.2667,32.85,285.8,97,38,1.58,RU,1621475277
Nanortalik,60.1432,-45.2371,275.53,78,5,3.36,GL,1621475277
Port Hedland,-20.3167,118.5667,302.18,16,0,5.14,AU,1621475278
Mackay,-21.15,149.2,299.29,69,5,9.77,AU,1621475278
Heide,54.2,9.1,282.2,93,3,3.09,DE,1621475279
Yulara,-25.2406,130.9889,291.06,22,100,3.6,AU,1621475279
Mar del Plata,-38.0023,-57.5575,284.33,61,0,0.45,AR,1621475279
Hong Kong,22.2855,114.1577,305.35,76,100,0.45,HK,1621475250
Pokaran,26.9167,71.9167,300.58,46,22,5.38,IN,1621475279
Upernavik,72.7868,-56.1549,269.93,78,10,4.07,GL,1621475280
Amuntai,-2.4177,115.2494,301.42,77,55,0.81,ID,1621475280
Biak,-0.9131,122.8766,300.91,75,93,3.71,ID,1621475280
Vanderhoof,54.0166,-124.0198,284.63,56,100,1.16,CA,1621475106
Kaitangata,-46.2817,169.8464,289.22,63,81,1.44,NZ,1621475281
Jaru,-10.4389,-62.4664,298.13,79,96,1.17,BR,1621474994
Tuktoyaktuk,69.4541,-133.0374,276.15,70,20,8.23,CA,1621475281
Mirny,62.5353,113.9611,278.04,32,100,3.01,RU,1621475282
Cabo San Lucas,22.8909,-109.9124,302.32,72,0,4.44,MX,1621475282
Kavaratti,10.5669,72.642,302.01,75,100,6.23,IN,1621475282
Tura,25.5198,90.2201,298.95,89,100,2.61,IN,1621475102
Flagstaff,35.1981,-111.6513,295.45,22,1,1.79,US,1621475081
Kozhva,65.1073,57.0459,292.25,63,87,2.74,RU,1621475283
Lengshuijiang,27.6881,111.4294,291.14,93,100,1.32,CN,1621475283
Ovalle,-30.5983,-71.2003,288.0,74,100,0.95,CL,1621475013
Hasaki,35.7333,140.8333,295.31,79,100,4.04,JP,1621475284
Touros,-5.1989,-35.4608,298.65,78,3,4.86,BR,1621475157
Tazovsky,67.4667,78.7,266.11,89,81,2.89,RU,1621475284
Qaanaaq,77.484,-69.3632,271.27,80,42,3.39,GL,1621475284
Kapaa,22.0752,-159.319,300.33,70,75,1.79,US,1621475285
Atuona,-9.8,-139.0333,299.9,77,16,7.75,PF,1621475285
Bambous Virieux,-20.3428,57.7575,294.94,73,66,10.58,MU,1621475285
Lālmohan,22.3384,90.7419,304.22,68,98,5.69,BD,1621475286
Krasne,49.9145,24.6134,280.79,97,15,2.45,UA,1621475286
Conakry,9.538,-13.6773,299.61,81,100,1.49,GN,1621475086
Tsaratanana,-16.7833,47.65,292.05,78,7,5.15,MG,1621475286
Hualmay,-11.0964,-77.6139,290.52,88,23,4.22,PE,1621475287
Pisco,-13.7,-76.2167,292.18,82,0,5.14,PE,1621475076
